,InteractionIdId,name_used,summary,url,toc
"levothyroxine (synthroid, levothroid, levoxyl, and others)",288,Levothyroxine,"Levothyroxine, also known as L-thyroxine, is a manufactured form of the thyroid hormone thyroxine (T4).
It is used to treat thyroid hormone deficiency, including the severe form known as myxedema coma.
Maximum effect from a specific dose can take up to six weeks to occur.Side effects from excessive doses include weight loss, trouble tolerating heat, sweating, anxiety, trouble sleeping, tremor, and fast heart rate.
Use is not recommended in people who have had a recent heart attack.
It is on the World Health Organization's List of Essential Medicines, which lists the most effective and safe medicines needed in a health system.
The wholesale cost in the developing world is about US$0.58 to US$12.28 per month.
In the United States, a typical month of treatment costs less than US$25.
Levothyroxine was the most commonly prescribed medication in the United States as of 2016, with more than 114 million prescriptions.",https://en.wikipedia.org/wiki/Levothyroxine,"[('Medical use', 'Elderly'), ('Medical use', 'Pregnancy and breastfeeding'), ('Medical use', 'Children'), ('Contraindications',), ('Side effects',), ('Interactions',), ('Mechanism of action',), ('Pharmacokinetics',), ('History',), ('Society and culture', 'Economics'), ('Society and culture', 'Available forms'), ('References',), ('External links',)]"
"levothyroxine (synthroid, others)",215,Levothyroxine,"Levothyroxine, also known as L-thyroxine, is a manufactured form of the thyroid hormone thyroxine (T4).
It is used to treat thyroid hormone deficiency, including the severe form known as myxedema coma.
Maximum effect from a specific dose can take up to six weeks to occur.Side effects from excessive doses include weight loss, trouble tolerating heat, sweating, anxiety, trouble sleeping, tremor, and fast heart rate.
Use is not recommended in people who have had a recent heart attack.
It is on the World Health Organization's List of Essential Medicines, which lists the most effective and safe medicines needed in a health system.
The wholesale cost in the developing world is about US$0.58 to US$12.28 per month.
In the United States, a typical month of treatment costs less than US$25.
Levothyroxine was the most commonly prescribed medication in the United States as of 2016, with more than 114 million prescriptions.",https://en.wikipedia.org/wiki/Levothyroxine,"[('Medical use', 'Elderly'), ('Medical use', 'Pregnancy and breastfeeding'), ('Medical use', 'Children'), ('Contraindications',), ('Side effects',), ('Interactions',), ('Mechanism of action',), ('Pharmacokinetics',), ('History',), ('Society and culture', 'Economics'), ('Society and culture', 'Available forms'), ('References',), ('External links',)]"
licorice,141,Liquorice,"Liquorice (British English) or licorice (American English) ( LIK-ər-is(h)) is the root of Glycyrrhiza glabra from which a sweet flavour can be extracted. The liquorice plant is a herbaceous perennial legume native to the Middle East, southern Europe, and parts of Asia, such as India. It is not botanically related to anise, star anise, or fennel, which are sources of similar flavouring compounds. Liquorice flavours are used as candies or sweeteners, particularly in some European and Middle Eastern countries.
Liquorice extracts have been used in herbalism and traditional medicine. Excessive consumption of liquorice (more than 2 mg/kg/day of pure glycyrrhizinic acid, a liquorice component) may result in adverse effects, such as hypokalemia, increased blood pressure, and muscle weakness.",https://en.wikipedia.org/wiki/Liquorice,"[('Etymology',), ('Description',), ('Chemistry',), ('Cultivation and uses', 'Tobacco'), ('Cultivation and uses', 'Food and confectionery'), ('Cultivation and uses', 'Research'), ('Cultivation and uses', 'Traditional medicine'), ('Cultivation and uses', 'Toxicity'), ('Liquorice poisoning',), ('Gallery',), ('References',), ('External links',)]"
lithium,50,Lithium,"It is a soft, silvery-white alkali metal.
Like all alkali metals, lithium is highly reactive and flammable, and must be stored in mineral oil.
The nucleus of the lithium atom verges on instability, since the two stable lithium isotopes found in nature have among the lowest binding energies per nucleon of all stable nuclides.
Because of its relative nuclear instability, lithium is less common in the solar system than 25 of the first 32 chemical elements even though its nuclei are very light: it is an exception to the trend that heavier nuclei are less common.
The transmutation of lithium atoms to helium in 1932 was the first fully man-made nuclear reaction, and lithium deuteride serves as a fusion fuel in staged thermonuclear weapons.Lithium and its compounds have several industrial applications, including heat-resistant glass and ceramics, lithium grease lubricants, flux additives for iron, steel and aluminium production, lithium batteries, and lithium-ion batteries.",https://en.wikipedia.org/wiki/Lithium,"[('Properties', 'Atomic and physical'), ('Properties', 'Chemistry and compounds', 'Organic chemistry'), ('Properties', 'Isotopes'), ('Occurrence', 'Astronomical'), ('Occurrence', 'Terrestrial'), ('Occurrence', 'Biological'), ('History',), ('Production', 'Reserves'), ('Production', 'Pricing'), ('Production', 'Extraction'), ('Production', 'Investment'), ('Applications', 'Ceramics and glass'), ('Applications', 'Electrical and electronics'), ('Applications', 'Lubricating greases'), ('Applications', 'Metallurgy'), ('Applications', 'Silicon nano-welding'), ('Applications', 'Other chemical and industrial uses', 'Pyrotechnics'), ('Applications', 'Other chemical and industrial uses', 'Air purification'), ('Applications', 'Other chemical and industrial uses', 'Optics'), ('Applications', 'Other chemical and industrial uses', 'Organic and polymer chemistry'), ('Applications', 'Other chemical and industrial uses', 'Military applications'), ('Applications', 'Nuclear'), ('Applications', 'Medicine'), ('Biological role',), ('Precautions', 'Regulation'), ('See also',), ('Notes',), ('References',), ('External links',)]"
losartan (cozaar),30,Losartan,"Losartan, sold under the trade name Cozaar among others, is a medication mainly used to treat high blood pressure.
It may be used alone or in addition to other blood pressure medication.
Up to six weeks may be required for the full effects to occur.Common adverse effects include muscle cramps, stuffy nose, cough, high blood potassium and anemia.
Severe adverse effects may include angioedema, low blood pressure, and kidney problems.
It works by blocking angiotensin II.Losartan was patented in 1986, and approved for medical use in the United States in 1995.
It is available as a generic medication.
The wholesale cost in the developing world is about US$0.28–3.45 per month as of 2015.
In the United States, as of 2017, the wholesale cost of a typical dose is $1.13 per month.
In 2016, it was the 9th most prescribed medication in the United States, with more than 49 million prescriptions.",https://en.wikipedia.org/wiki/Losartan,"[('Medical uses',), ('Adverse effects', 'Pregnancy'), ('Adverse effects', 'Overdose'), ('Adverse effects', 'Interactions'), ('Adverse effects', 'Contamination'), ('Mechanism of action',), ('Pharmacokinetics',), ('Chemistry',), ('History',), ('Dosing',), ('References',), ('External links',)]"
lovastatin (mevacor),195,Lovastatin,"Lovastatin, sold under the brand name Mevacor among others, is a statin medication, to treat high blood cholesterol and reduce the risk of cardiovascular disease.
It use is recommended together with lifestyle changes.
It is taken by mouth.Common side effects include diarrhea, constipation, headache, muscles pains, rash, and trouble sleeping.
Serious side effects may include liver problems, muscle breakdown, and kidney failure.
Use during pregnancy may harm the baby and use during breastfeeding is not recommended.
It works by decreasing the livers ability to produce cholesterol by blocking the enzyme HMG-CoA reductase.Lovastatin was patented in 1979 and approved for medical use in 1987.
It is available as a generic medication.
In the United States the wholesale cost is about 0.05 USD per dose.
In 2016 it was the 72nd most prescribed medication in the United States with more than 11 million prescriptions.
Lovastatin was not available in the United Kingdom as of 2009.",https://en.wikipedia.org/wiki/Lovastatin,"[('Medical uses',), ('Side effects', 'Contraindications'), ('Side effects', 'Interactions'), ('Mechanism of action',), ('History', 'Biosynthesis'), ('History', 'Total synthesis'), ('Society and culture', 'Natural sources'), ('Society and culture', 'Brand names'), ('Society and culture', 'Other applications'), ('See also',), ('References',), ('External links',)]"
lutein,262,Lutein,"Lutein (; from Latin luteus meaning ""yellow"") is a xanthophyll and one of 600 known naturally occurring carotenoids.
Lutein is synthesized only by plants, and like other xanthophylls is found in high quantities in green leafy vegetables such as spinach, kale and yellow carrots.
Animals obtain lutein by ingesting plants.
In the human retina, lutein is absorbed from blood specifically into the macula lutea, although its precise role in the body is unknown.
Lutein is also found in egg yolks and animal fats.
Lutein is isomeric with zeaxanthin, differing only in the placement of one double bond.
The presence of the long chromophore of conjugated double bonds (polyene chain) provides the distinctive light-absorbing properties.
Lutein is present in plants as fatty-acid esters, with one or two fatty acids bound to the two hydroxyl-groups.",https://en.wikipedia.org/wiki/Lutein,"[('As a pigment',), ('Role in human eyes', 'Macular degeneration'), ('Role in human eyes', 'Cataract research'), ('In diet', 'Safety'), ('Commercial value',), ('See also',), ('References',)]"
magnesium,96,Magnesium,"Magnesium is the ninth most abundant element in the universe.
Magnesium is the eighth most abundant element in the Earth's crust and the fourth most common element in the Earth (after iron, oxygen and silicon), making up 13% of the planet's mass and a large fraction of the planet's mantle.
It is the third most abundant element dissolved in seawater, after sodium and chlorine.Magnesium occurs naturally only in combination with other elements, where it invariably has a +2 oxidation state.
The free element (metal) can be produced artificially, and is highly reactive (though in the atmosphere, it is soon coated in a thin layer of oxide that partly inhibits reactivity – see passivation).
Magnesium is less dense than aluminium, and the alloy is prized for its combination of lightness and strength.
Magnesium is the eleventh most abundant element by mass in the human body and is essential to all cells and some 300 enzymes.",https://en.wikipedia.org/wiki/Magnesium,"[('Characteristics', 'Physical properties'), ('Characteristics', 'Chemical properties', 'General chemistry'), ('Characteristics', 'Chemical properties', 'Flammability'), ('Characteristics', 'Chemical properties', 'Organic chemistry'), ('Characteristics', 'Chemical properties', 'Source of light'), ('Characteristics', 'Occurrence'), ('Forms', 'Alloys', 'Corrosion'), ('Forms', 'Alloys', 'High-temperature creep and flammability'), ('Forms', 'Compounds'), ('Forms', 'Isotopes'), ('Production',), ('History',), ('Uses as a metal', 'Aircraft'), ('Uses as a metal', 'Automotive'), ('Uses as a metal', 'Electronics'), ('Uses as a metal', 'Other'), ('Uses as a metal', 'Safety precautions'), ('Useful compounds',), ('Biological roles', 'Mechanism of action'), ('Biological roles', 'Nutrition', 'Diet'), ('Biological roles', 'Nutrition', 'Dietary recommendations'), ('Biological roles', 'Nutrition', 'Supplementation'), ('Biological roles', 'Metabolism'), ('Biological roles', 'Detection in serum and plasma'), ('Biological roles', 'Deficiency'), ('Biological roles', 'Therapy'), ('Biological roles', 'Overdose'), ('Biological roles', 'Function in plants'), ('See also',), ('References',), ('Cited sources',), ('External links',)]"
manganese,329,Manganese,"Manganese is a transition metal with a multifaceted array of industrial alloy uses, particularly in stainless steels.
Historically, manganese is named for pyrolusite and other black minerals from the region of Magnesia in Greece, which also gave its name to magnesium and the iron ore magnetite.
Scheele and others were aware that pyrolusite (now known to be manganese dioxide) contained a new element, but they were unable to isolate it.
Johan Gottlieb Gahn was the first to isolate an impure sample of manganese metal in 1774, which he did by reducing the dioxide with carbon.
Ionized manganese is used industrially as pigments of various colors, which depend on the oxidation state of the ions.
Manganese dioxide is used as the cathode (electron acceptor) material in zinc-carbon and alkaline batteries.
Manganese enzymes are particularly essential in detoxification of superoxide free radicals in organisms that must deal with elemental oxygen.",https://en.wikipedia.org/wiki/Manganese,"[('Characteristics', 'Physical properties'), ('Characteristics', 'Isotopes'), ('Characteristics', 'Oxidation States'), ('History',), ('Occurrence and production',), ('Applications', 'Steel'), ('Applications', 'Aluminium alloys'), ('Applications', 'Other uses'), ('Biological role', 'Biochemistry'), ('Biological role', 'Biological role in Humans', 'Toxicity'), ('Biological role', 'Biological role in Humans', 'Nutrition', 'Dietary recommendations'), ('Biological role', 'Biological role in bacteria'), ('Biological role', 'Biological role in plants'), ('Precautions',), ('Environmental health concerns', 'Manganese in drinking water'), ('Environmental health concerns', 'Manganese in gasoline'), ('Environmental health concerns', 'Manganese in tobacco smoke'), ('Role in neurological disorders', 'Manganism'), ('Role in neurological disorders', 'Childhood developmental disorders'), ('Role in neurological disorders', 'Neurodegenerative diseases'), ('See also',), ('References',), ('External links',)]"
medications changed by the liver (cytochrome p450 1a1 (cyp1a1) substrates),112,CYP2E1,"Cytochrome P450 2E1 (abbreviated CYP2E1, EC 1.14.13.n7) is a member of the cytochrome P450 mixed-function oxidase system, which is involved in the metabolism of xenobiotics in the body. This class of enzymes is divided up into a number of subcategories, including CYP1, CYP2, and CYP3, which as a group are largely responsible for the breakdown of foreign compounds in mammals.The CYP2 subfamily is responsible for the majority of P450-mediated drug metabolism in humans. While CYP2E1 itself carries out a relatively low number of these reactions (~4% of known P450-mediated drug oxidations), it and related enzymes CYP1A2 and CYP3A4 are responsible for the breakdown of many toxic environmental chemicals and carcinogens that enter the body, in addition to basic metabolic reactions such as fatty acid oxidations.",https://en.wikipedia.org/wiki/CYP2E1,"[('Function', 'Substrates'), ('Structure',), ('Regulation', 'Genetic regulation'), ('Regulation', 'Chemical regulation'), ('Disease relevance',), ('Applications',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 1a2 (cyp1a2) substrates),113,CYP2E1,"Cytochrome P450 2E1 (abbreviated CYP2E1, EC 1.14.13.n7) is a member of the cytochrome P450 mixed-function oxidase system, which is involved in the metabolism of xenobiotics in the body. This class of enzymes is divided up into a number of subcategories, including CYP1, CYP2, and CYP3, which as a group are largely responsible for the breakdown of foreign compounds in mammals.The CYP2 subfamily is responsible for the majority of P450-mediated drug metabolism in humans. While CYP2E1 itself carries out a relatively low number of these reactions (~4% of known P450-mediated drug oxidations), it and related enzymes CYP1A2 and CYP3A4 are responsible for the breakdown of many toxic environmental chemicals and carcinogens that enter the body, in addition to basic metabolic reactions such as fatty acid oxidations.",https://en.wikipedia.org/wiki/CYP2E1,"[('Function', 'Substrates'), ('Structure',), ('Regulation', 'Genetic regulation'), ('Regulation', 'Chemical regulation'), ('Disease relevance',), ('Applications',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 1b1 (cyp1b1) substrates),43,CYP2E1,"Cytochrome P450 2E1 (abbreviated CYP2E1, EC 1.14.13.n7) is a member of the cytochrome P450 mixed-function oxidase system, which is involved in the metabolism of xenobiotics in the body. This class of enzymes is divided up into a number of subcategories, including CYP1, CYP2, and CYP3, which as a group are largely responsible for the breakdown of foreign compounds in mammals.The CYP2 subfamily is responsible for the majority of P450-mediated drug metabolism in humans. While CYP2E1 itself carries out a relatively low number of these reactions (~4% of known P450-mediated drug oxidations), it and related enzymes CYP1A2 and CYP3A4 are responsible for the breakdown of many toxic environmental chemicals and carcinogens that enter the body, in addition to basic metabolic reactions such as fatty acid oxidations.",https://en.wikipedia.org/wiki/CYP2E1,"[('Function', 'Substrates'), ('Structure',), ('Regulation', 'Genetic regulation'), ('Regulation', 'Chemical regulation'), ('Disease relevance',), ('Applications',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2a6 (cyp2a6) substrates),114,Cytochrome P450,"Cytochromes P450 (CYPs) are a family of enzymes containing heme as a cofactor that function as monooxygenases.
In mammals, these proteins oxidize steroids, fatty acids, and xenobiotics, and are important for the clearance of various compounds, as well as for hormone synthesis and breakdown.
In plants, these proteins are important for the biosynthesis of defensive compounds, fatty acids, and hormones.CYP enzymes have been identified in all kingdoms of life: animals, plants, fungi, protists, bacteria, archaea, and even in viruses.
More than 50,000 distinct CYP proteins are known.CYPs are, in general, the terminal oxidase enzymes in electron transfer chains, broadly categorized as P450-containing systems.
The term ""P450"" is derived from the spectrophotometric peak at the wavelength of the absorption maximum of the enzyme (450 nm) when it is in the reduced state and complexed with carbon monoxide.
Most CYPs require a protein partner to deliver one or more electrons to reduce the iron (and eventually molecular oxygen).",https://en.wikipedia.org/wiki/Cytochrome_P450,"[('Nomenclature',), ('Classification',), ('Mechanism', 'Structure'), ('Mechanism', 'Catalytic cycle'), ('Mechanism', 'Spectroscopy'), ('P450s in humans', 'Drug metabolism', 'Drug interaction'), ('P450s in humans', 'Drug metabolism', 'Interaction of other substances'), ('P450s in humans', 'Other specific CYP functions', 'Steroid hormones'), ('P450s in humans', 'Other specific CYP functions', 'Polyunsaturated fatty acids and eicosanoids'), ('P450s in humans', 'CYP families in humans'), ('P450s in other species', 'Animals'), ('P450s in other species', 'Microbial'), ('P450s in other species', 'Fungi'), ('P450s in other species', 'Plants'), ('P450s in biotechnology',), ('InterPro subfamilies',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2b6 (cyp2b6) substrates),115,Cytochrome P450,"Cytochromes P450 (CYPs) are a family of enzymes containing heme as a cofactor that function as monooxygenases.
In mammals, these proteins oxidize steroids, fatty acids, and xenobiotics, and are important for the clearance of various compounds, as well as for hormone synthesis and breakdown.
In plants, these proteins are important for the biosynthesis of defensive compounds, fatty acids, and hormones.CYP enzymes have been identified in all kingdoms of life: animals, plants, fungi, protists, bacteria, archaea, and even in viruses.
More than 50,000 distinct CYP proteins are known.CYPs are, in general, the terminal oxidase enzymes in electron transfer chains, broadly categorized as P450-containing systems.
The term ""P450"" is derived from the spectrophotometric peak at the wavelength of the absorption maximum of the enzyme (450 nm) when it is in the reduced state and complexed with carbon monoxide.
Most CYPs require a protein partner to deliver one or more electrons to reduce the iron (and eventually molecular oxygen).",https://en.wikipedia.org/wiki/Cytochrome_P450,"[('Nomenclature',), ('Classification',), ('Mechanism', 'Structure'), ('Mechanism', 'Catalytic cycle'), ('Mechanism', 'Spectroscopy'), ('P450s in humans', 'Drug metabolism', 'Drug interaction'), ('P450s in humans', 'Drug metabolism', 'Interaction of other substances'), ('P450s in humans', 'Other specific CYP functions', 'Steroid hormones'), ('P450s in humans', 'Other specific CYP functions', 'Polyunsaturated fatty acids and eicosanoids'), ('P450s in humans', 'CYP families in humans'), ('P450s in other species', 'Animals'), ('P450s in other species', 'Microbial'), ('P450s in other species', 'Fungi'), ('P450s in other species', 'Plants'), ('P450s in biotechnology',), ('InterPro subfamilies',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2c19 (cyp2c19) substrates),116,Cytochrome P450,"Cytochromes P450 (CYPs) are a family of enzymes containing heme as a cofactor that function as monooxygenases.
In mammals, these proteins oxidize steroids, fatty acids, and xenobiotics, and are important for the clearance of various compounds, as well as for hormone synthesis and breakdown.
In plants, these proteins are important for the biosynthesis of defensive compounds, fatty acids, and hormones.CYP enzymes have been identified in all kingdoms of life: animals, plants, fungi, protists, bacteria, archaea, and even in viruses.
More than 50,000 distinct CYP proteins are known.CYPs are, in general, the terminal oxidase enzymes in electron transfer chains, broadly categorized as P450-containing systems.
The term ""P450"" is derived from the spectrophotometric peak at the wavelength of the absorption maximum of the enzyme (450 nm) when it is in the reduced state and complexed with carbon monoxide.
Most CYPs require a protein partner to deliver one or more electrons to reduce the iron (and eventually molecular oxygen).",https://en.wikipedia.org/wiki/Cytochrome_P450,"[('Nomenclature',), ('Classification',), ('Mechanism', 'Structure'), ('Mechanism', 'Catalytic cycle'), ('Mechanism', 'Spectroscopy'), ('P450s in humans', 'Drug metabolism', 'Drug interaction'), ('P450s in humans', 'Drug metabolism', 'Interaction of other substances'), ('P450s in humans', 'Other specific CYP functions', 'Steroid hormones'), ('P450s in humans', 'Other specific CYP functions', 'Polyunsaturated fatty acids and eicosanoids'), ('P450s in humans', 'CYP families in humans'), ('P450s in other species', 'Animals'), ('P450s in other species', 'Microbial'), ('P450s in other species', 'Fungi'), ('P450s in other species', 'Plants'), ('P450s in biotechnology',), ('InterPro subfamilies',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2c8 (cyp2c8) substrates),117,Cytochrome P450,"Cytochromes P450 (CYPs) are a family of enzymes containing heme as a cofactor that function as monooxygenases.
In mammals, these proteins oxidize steroids, fatty acids, and xenobiotics, and are important for the clearance of various compounds, as well as for hormone synthesis and breakdown.
In plants, these proteins are important for the biosynthesis of defensive compounds, fatty acids, and hormones.CYP enzymes have been identified in all kingdoms of life: animals, plants, fungi, protists, bacteria, archaea, and even in viruses.
More than 50,000 distinct CYP proteins are known.CYPs are, in general, the terminal oxidase enzymes in electron transfer chains, broadly categorized as P450-containing systems.
The term ""P450"" is derived from the spectrophotometric peak at the wavelength of the absorption maximum of the enzyme (450 nm) when it is in the reduced state and complexed with carbon monoxide.
Most CYPs require a protein partner to deliver one or more electrons to reduce the iron (and eventually molecular oxygen).",https://en.wikipedia.org/wiki/Cytochrome_P450,"[('Nomenclature',), ('Classification',), ('Mechanism', 'Structure'), ('Mechanism', 'Catalytic cycle'), ('Mechanism', 'Spectroscopy'), ('P450s in humans', 'Drug metabolism', 'Drug interaction'), ('P450s in humans', 'Drug metabolism', 'Interaction of other substances'), ('P450s in humans', 'Other specific CYP functions', 'Steroid hormones'), ('P450s in humans', 'Other specific CYP functions', 'Polyunsaturated fatty acids and eicosanoids'), ('P450s in humans', 'CYP families in humans'), ('P450s in other species', 'Animals'), ('P450s in other species', 'Microbial'), ('P450s in other species', 'Fungi'), ('P450s in other species', 'Plants'), ('P450s in biotechnology',), ('InterPro subfamilies',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2c9 (cyp2c9) substrates),118,Cytochrome P450,"Cytochromes P450 (CYPs) are a family of enzymes containing heme as a cofactor that function as monooxygenases.
In mammals, these proteins oxidize steroids, fatty acids, and xenobiotics, and are important for the clearance of various compounds, as well as for hormone synthesis and breakdown.
In plants, these proteins are important for the biosynthesis of defensive compounds, fatty acids, and hormones.CYP enzymes have been identified in all kingdoms of life: animals, plants, fungi, protists, bacteria, archaea, and even in viruses.
More than 50,000 distinct CYP proteins are known.CYPs are, in general, the terminal oxidase enzymes in electron transfer chains, broadly categorized as P450-containing systems.
The term ""P450"" is derived from the spectrophotometric peak at the wavelength of the absorption maximum of the enzyme (450 nm) when it is in the reduced state and complexed with carbon monoxide.
Most CYPs require a protein partner to deliver one or more electrons to reduce the iron (and eventually molecular oxygen).",https://en.wikipedia.org/wiki/Cytochrome_P450,"[('Nomenclature',), ('Classification',), ('Mechanism', 'Structure'), ('Mechanism', 'Catalytic cycle'), ('Mechanism', 'Spectroscopy'), ('P450s in humans', 'Drug metabolism', 'Drug interaction'), ('P450s in humans', 'Drug metabolism', 'Interaction of other substances'), ('P450s in humans', 'Other specific CYP functions', 'Steroid hormones'), ('P450s in humans', 'Other specific CYP functions', 'Polyunsaturated fatty acids and eicosanoids'), ('P450s in humans', 'CYP families in humans'), ('P450s in other species', 'Animals'), ('P450s in other species', 'Microbial'), ('P450s in other species', 'Fungi'), ('P450s in other species', 'Plants'), ('P450s in biotechnology',), ('InterPro subfamilies',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2c9 cyp2c9 substrates),31,Cytochrome P450,"Cytochromes P450 (CYPs) are a family of enzymes containing heme as a cofactor that function as monooxygenases.
In mammals, these proteins oxidize steroids, fatty acids, and xenobiotics, and are important for the clearance of various compounds, as well as for hormone synthesis and breakdown.
In plants, these proteins are important for the biosynthesis of defensive compounds, fatty acids, and hormones.CYP enzymes have been identified in all kingdoms of life: animals, plants, fungi, protists, bacteria, archaea, and even in viruses.
More than 50,000 distinct CYP proteins are known.CYPs are, in general, the terminal oxidase enzymes in electron transfer chains, broadly categorized as P450-containing systems.
The term ""P450"" is derived from the spectrophotometric peak at the wavelength of the absorption maximum of the enzyme (450 nm) when it is in the reduced state and complexed with carbon monoxide.
Most CYPs require a protein partner to deliver one or more electrons to reduce the iron (and eventually molecular oxygen).",https://en.wikipedia.org/wiki/Cytochrome_P450,"[('Nomenclature',), ('Classification',), ('Mechanism', 'Structure'), ('Mechanism', 'Catalytic cycle'), ('Mechanism', 'Spectroscopy'), ('P450s in humans', 'Drug metabolism', 'Drug interaction'), ('P450s in humans', 'Drug metabolism', 'Interaction of other substances'), ('P450s in humans', 'Other specific CYP functions', 'Steroid hormones'), ('P450s in humans', 'Other specific CYP functions', 'Polyunsaturated fatty acids and eicosanoids'), ('P450s in humans', 'CYP families in humans'), ('P450s in other species', 'Animals'), ('P450s in other species', 'Microbial'), ('P450s in other species', 'Fungi'), ('P450s in other species', 'Plants'), ('P450s in biotechnology',), ('InterPro subfamilies',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2d6 (cyp2d6) substrates),119,Cytochrome P450,"Cytochromes P450 (CYPs) are a family of enzymes containing heme as a cofactor that function as monooxygenases.
In mammals, these proteins oxidize steroids, fatty acids, and xenobiotics, and are important for the clearance of various compounds, as well as for hormone synthesis and breakdown.
In plants, these proteins are important for the biosynthesis of defensive compounds, fatty acids, and hormones.CYP enzymes have been identified in all kingdoms of life: animals, plants, fungi, protists, bacteria, archaea, and even in viruses.
More than 50,000 distinct CYP proteins are known.CYPs are, in general, the terminal oxidase enzymes in electron transfer chains, broadly categorized as P450-containing systems.
The term ""P450"" is derived from the spectrophotometric peak at the wavelength of the absorption maximum of the enzyme (450 nm) when it is in the reduced state and complexed with carbon monoxide.
Most CYPs require a protein partner to deliver one or more electrons to reduce the iron (and eventually molecular oxygen).",https://en.wikipedia.org/wiki/Cytochrome_P450,"[('Nomenclature',), ('Classification',), ('Mechanism', 'Structure'), ('Mechanism', 'Catalytic cycle'), ('Mechanism', 'Spectroscopy'), ('P450s in humans', 'Drug metabolism', 'Drug interaction'), ('P450s in humans', 'Drug metabolism', 'Interaction of other substances'), ('P450s in humans', 'Other specific CYP functions', 'Steroid hormones'), ('P450s in humans', 'Other specific CYP functions', 'Polyunsaturated fatty acids and eicosanoids'), ('P450s in humans', 'CYP families in humans'), ('P450s in other species', 'Animals'), ('P450s in other species', 'Microbial'), ('P450s in other species', 'Fungi'), ('P450s in other species', 'Plants'), ('P450s in biotechnology',), ('InterPro subfamilies',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2d6 cyp2d6 substrates),32,Cytochrome P450,"Cytochromes P450 (CYPs) are a family of enzymes containing heme as a cofactor that function as monooxygenases.
In mammals, these proteins oxidize steroids, fatty acids, and xenobiotics, and are important for the clearance of various compounds, as well as for hormone synthesis and breakdown.
In plants, these proteins are important for the biosynthesis of defensive compounds, fatty acids, and hormones.CYP enzymes have been identified in all kingdoms of life: animals, plants, fungi, protists, bacteria, archaea, and even in viruses.
More than 50,000 distinct CYP proteins are known.CYPs are, in general, the terminal oxidase enzymes in electron transfer chains, broadly categorized as P450-containing systems.
The term ""P450"" is derived from the spectrophotometric peak at the wavelength of the absorption maximum of the enzyme (450 nm) when it is in the reduced state and complexed with carbon monoxide.
Most CYPs require a protein partner to deliver one or more electrons to reduce the iron (and eventually molecular oxygen).",https://en.wikipedia.org/wiki/Cytochrome_P450,"[('Nomenclature',), ('Classification',), ('Mechanism', 'Structure'), ('Mechanism', 'Catalytic cycle'), ('Mechanism', 'Spectroscopy'), ('P450s in humans', 'Drug metabolism', 'Drug interaction'), ('P450s in humans', 'Drug metabolism', 'Interaction of other substances'), ('P450s in humans', 'Other specific CYP functions', 'Steroid hormones'), ('P450s in humans', 'Other specific CYP functions', 'Polyunsaturated fatty acids and eicosanoids'), ('P450s in humans', 'CYP families in humans'), ('P450s in other species', 'Animals'), ('P450s in other species', 'Microbial'), ('P450s in other species', 'Fungi'), ('P450s in other species', 'Plants'), ('P450s in biotechnology',), ('InterPro subfamilies',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
medications changed by the liver (cytochrome p450 2e1 (cyp2e1) substrates),182,CYP2E1,"Cytochrome P450 2E1 (abbreviated CYP2E1, EC 1.14.13.n7) is a member of the cytochrome P450 mixed-function oxidase system, which is involved in the metabolism of xenobiotics in the body. This class of enzymes is divided up into a number of subcategories, including CYP1, CYP2, and CYP3, which as a group are largely responsible for the breakdown of foreign compounds in mammals.The CYP2 subfamily is responsible for the majority of P450-mediated drug metabolism in humans. While CYP2E1 itself carries out a relatively low number of these reactions (~4% of known P450-mediated drug oxidations), it and related enzymes CYP1A2 and CYP3A4 are responsible for the breakdown of many toxic environmental chemicals and carcinogens that enter the body, in addition to basic metabolic reactions such as fatty acid oxidations.",https://en.wikipedia.org/wiki/CYP2E1,"[('Function', 'Substrates'), ('Structure',), ('Regulation', 'Genetic regulation'), ('Regulation', 'Chemical regulation'), ('Disease relevance',), ('Applications',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
