,name_used,summary
Poria,Jethwa,"Jethwa (or Jethva, Jaitwa, Jethi or Kamari, Camari, Kam(a)r) is a branch of the Suryavanshi Rajput clan.The Jethwa Rajputs belong to the Gautam/Vajas Gotra and their Kuldevi is Vindhyavasini Devi. Jethwas also worship Brahmani. Again there is one aspect of devi, who is known as Jethwa Mata, who is identified as Gaur Matas or clan deities.It has been suggested that the Saindhava dynasty ruling eastern part of Saurashtra peninsula is now represented by the present day Jethwa dynasty. It is also suggested that the term Jethwa probably originating from Jayadratha (another name of Saindhawa dynasty), Jyeshtha (the elder branch) or Jyeshthuka from which the region derived its name Jyeshthukadesha."
Radix Achyranthis bidentatae,Shouwu Wan,"Shouwu Wan  (simplified Chinese: 首乌丸; traditional Chinese: 首烏丸) is a black pill used in Traditional Chinese medicine to ""replenish the liver and the kidney, strengthen the tendons and bones, and blacken the hair"". It tastes sweet and slightly bitter. It is used where there is ""deficiency syndrome of the liver and the kidney marked by dizziness, blurring of vision, tinnitus, aching of the loins, numbness of the limbs and premature greying of hair and beard, and hyperlipemia"".  The binding agent is honey.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Aconiti,Fuzi Lizhong Wan,"Fuzi Lizhong Wan (Chinese: 附子理中丸) is a brownish-black pill used in Traditional Chinese medicine to ""warm and reinforce the spleen and the stomach"". It is slightly aromatic, and it tastes pungent and slightly sweet. It is used where there is ""deficiency-cold syndrome of the spleen and stomach marked by cold sensation and pain in the epigastrium, vomiting, diarrhea and cold extremities"".[1], Fu Zi (Radix Aconiti Lateralis Praeparata)Chinese classic herbal formula
Bu Zhong Yi Qi Wan
Aconitum carmichaelii"
Radix Aconiti Lateralis,Fuzi Lizhong Wan,"Fuzi Lizhong Wan (Chinese: 附子理中丸) is a brownish-black pill used in Traditional Chinese medicine to ""warm and reinforce the spleen and the stomach"". It is slightly aromatic, and it tastes pungent and slightly sweet. It is used where there is ""deficiency-cold syndrome of the spleen and stomach marked by cold sensation and pain in the epigastrium, vomiting, diarrhea and cold extremities"".[1], Fu Zi (Radix Aconiti Lateralis Praeparata)Chinese classic herbal formula
Bu Zhong Yi Qi Wan
Aconitum carmichaelii"
Radix Adenophorae,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Radix Ampelopsis,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Radix Angelicae Dahuricae,Gou pi gao,"Gou Pi Gao, translated word for word, literally means dog skin plaster, which is indicative of its history.Gou Pi Gao was traditionally literally a dog skin plaster, with herbal medicines smeared onto a dog skin.
In addition, modern chemicals are often added to the adhesive ""herbal"" mixture on the plaster, including ingredients such as menthol and camphor.Gou Pi Gao can be used to treat primarily muscle and tendon pains, caused by muscle sprains, tears, rheumatism, tendinitis and various other conditions.
The adhesive plaster is applied to the area in pain, and left on for 3–5 hours (preferably with heat treatment in order to increase the medicine's effectiveness).
Afterwards, it is removed, and the skin is left to rest for 2–3 hours, after which the Gou Pi Gao is reapplied.
Certain medical conditions, such as pregnancy, may result in a higher risk factor in taking the medicine, and one should contact his/her doctor to prevent the risk of complications."
Radix Angelicae Pubescentis,Gou pi gao,"Gou Pi Gao, translated word for word, literally means dog skin plaster, which is indicative of its history.Gou Pi Gao was traditionally literally a dog skin plaster, with herbal medicines smeared onto a dog skin.
In addition, modern chemicals are often added to the adhesive ""herbal"" mixture on the plaster, including ingredients such as menthol and camphor.Gou Pi Gao can be used to treat primarily muscle and tendon pains, caused by muscle sprains, tears, rheumatism, tendinitis and various other conditions.
The adhesive plaster is applied to the area in pain, and left on for 3–5 hours (preferably with heat treatment in order to increase the medicine's effectiveness).
Afterwards, it is removed, and the skin is left to rest for 2–3 hours, after which the Gou Pi Gao is reapplied.
Certain medical conditions, such as pregnancy, may result in a higher risk factor in taking the medicine, and one should contact his/her doctor to prevent the risk of complications."
Radix Angelicae sinensis,Sheng Hua Tang,"Sheng Hua Tang (simplified Chinese: 生化汤; traditional Chinese: 生化湯; pinyin: shēng huà tāng) is a Chinese classic herbal formula that stimulates blood flow and relieves pain.  The herbal formula is widely used by Chinese women who after giving birth will use the formula to improve blood flow.  According to the Daoist Center, this formula is the most popular post-partum formula to restore blood flow [1].Sheng Hua Tang: Chinese herbal medicine formula
New Mother's Formula: Jia Wei Sheng Hua Tang
Alternative Healing University - Sheng Hua Tang
Daoist Center: Inner History of China
Florida College of Integrative Medicine (Medicine Course)
Florida College of Integrative MedicineChinese classic herbal formula
Chinese patent medicine24g of Dang Gui (radix angelicae sinensis)
9g of Chuan Xiong (radix ligustici chuanxiong)
6-9g of Tao Ren (semen persicae)
1.5g of Pao Jiang (quick fried rhizoma zingiberis officinalis)
1.5g of Zhi Gan Cao (honey fried radix glycyrrhizae uralensis)"
Radix Asparagi,Wuji Baifeng Wan,"Wuji Baifeng Wan  (simplified Chinese: 乌鸡白凤丸; traditional Chinese: 烏雞白鳳丸) is a blackish-brown pill used in Traditional Chinese medicine to ""replenish qi and blood , regulate menstruation and arrest excessive leukorrhea"". It is slightly aromatic and tastes sweet and slightly bitter. It is used where there is ""deficiency of both qi and blood marked by emaciation and general feebleness, aching and limpness of loins and knees, disorders of menstruation with abnormal uterine bleeding and excessive leukorrhea"". The binding agent of the pill is honey.  Wuji Baifeng Wan translates to: Black  Chicken White Phoenix Pill.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Astragali,Astragalus sinicus,"Astragalus sinicus is a species of milkvetch in the family Fabaceae. It is known under such common names as Chinese milkvetch (or milk-vetch) and is in common use in farming as a green manure. It is not to be confused with Astragalus membranaceus (Fisch.), the plant yielding Radix Astragali for Chinese medicine.On Wikimedia For media relating to this species.
On Plants For a Future With bibliography.
Online text of King, F. H. 1911
Food and Agriculture Organization of the United Nations with link to photos"
Radix Aucklandiae,Xiangsha Liujun Wan,"Xiangsha Liujun Wan  (Chinese: 香砂六君丸) is a pale yellowish brown pill used in Traditional Chinese medicine to ""replenish qi, invigorate the function of the spleen and regulate the function of the stomach"". It is slightly aromatic and tastes pungent and slightly sweet. It is used when there are symptoms of ""diminished function of the spleen with stagnation of qi marked by dyspepsia, belching, anorexia, epigastric and abdominal distension and loose bowels"".Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Bupleuri,Bupleurum chinense,"Bupleurum chinense (Chai Hu, Chinese: 柴胡; pinyin: chaí hú; Jyutping: caai4 wu4, Thorowax) is a plant of the family Apiaceae.Consumption of B.
This formula should not be taken without a prescription from a licensed practitioner of traditional Chinese medicine and should not be taken for prolonged periods of time and could cause headache, dizziness and bleeding of the gums.
chinense, known as Radix Bupleuri, is used in traditional Chinese medicine.
It is a primary ingredient in the preparation Xiao Chai Hu Tang, which was first recorded in the Treatise on Cold Induced Febrile Disease (Shang Han Lun) circa 280 AD.
This formula is used to soothe irritability.Bupleurum chinense is native to East Asia.
The leaves of the plant are long and thin and resemble fennel.Buplerum chinense roots, also known as Radix Bupleuri, were contain polyacetylenes and saponins/triterpenoids."
Radix Clematidis,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Radix Curcumae,Radix Curcumae,"Curcuma is a genus of about 100 accepted species in the family Zingiberaceae that contains such species as turmeric and Siam Tulip.
Curcuma alismatifolia Gagnep.
Curcuma amada Roxb.
Curcuma angustifolia Roxb.
Curcuma bhatii (R.M.Smith) Skornickova & M.Sabu
Curcuma caesia Roxb.
Curcuma chuanezhu Z.Y.Zhu nomen illegit.
Curcuma cochinchinensis Gagnep.
Curcuma colorata Valeton
Curcuma comosa Roxb.
Curcuma coriacea Mangaly & M.Sabu
Curcuma ecalcarata Sivar.
Curcuma euchroma Valeton
Curcuma elata Roxb.
Curcuma ferruginea Roxb.
Curcuma gracillima Gagnep.
Curcuma haritha Mangaly & M.Sabu
Curcuma harmandii Gagnep.
Curcuma heyneana Valeton & van Zijp
Curcuma latiflora Valeton
Curcuma leucorrhiza Roxb.
Curcuma loerzingii Valeton
Curcuma longispica Valeton
Curcuma meraukensis Valeton
Curcuma ornata Wall.
Curcuma parviflora Wall.
Curcuma petiolata Roxb.
Curcuma phaeocaulis Valeton
Curcuma pierreana Gagnep.
Curcuma plicata Wall.
Curcuma reclinata Roxb.
Curcuma roscoeana Wall.
Curcuma rubescens Roxb.
Curcuma singularis Gagnep.
Curcuma sparganiifolia Gagnep.
Curcuma stenochila Gagnep.
Curcuma strobilifera Wall.
Curcuma thorelii Gagnep.
Curcuma trichosantha Gagnep.
Curcuma zanthorrhiza Roxb."
Radix Cyathulae,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Radix Dipsaci,Gou pi gao,"Gou Pi Gao, translated word for word, literally means dog skin plaster, which is indicative of its history.Gou Pi Gao was traditionally literally a dog skin plaster, with herbal medicines smeared onto a dog skin.
In addition, modern chemicals are often added to the adhesive ""herbal"" mixture on the plaster, including ingredients such as menthol and camphor.Gou Pi Gao can be used to treat primarily muscle and tendon pains, caused by muscle sprains, tears, rheumatism, tendinitis and various other conditions.
The adhesive plaster is applied to the area in pain, and left on for 3–5 hours (preferably with heat treatment in order to increase the medicine's effectiveness).
Afterwards, it is removed, and the skin is left to rest for 2–3 hours, after which the Gou Pi Gao is reapplied.
Certain medical conditions, such as pregnancy, may result in a higher risk factor in taking the medicine, and one should contact his/her doctor to prevent the risk of complications."
Radix Echinopsis,List of Latin and Greek words commonly used in systematic names,"This list of Latin and Greek words commonly used in systematic names is intended to help those unfamiliar with classical languages to understand and remember the scientific names of organisms.
The binomial nomenclature used for animals and plants is largely derived from Latin and Greek words, as are some of the names used for higher taxa, such as orders and above.
At the time when biologist Carl Linnaeus (1707–1778) published the books that are now accepted as the starting point of binomial nomenclature, Latin was used in Western Europe as the common language of science, and scientific names were in Latin or Greek: Linnaeus continued this practice.
Instead, the words listed below are the common adjectives and other modifiers that repeatedly occur in the scientific names of many organisms (in more than one genus).
In the tables, L = Latin, G = Greek, and LG = similar in both languages.Glossary of scientific naming"
Radix Ephedrae,Gou pi gao,"Gou Pi Gao, translated word for word, literally means dog skin plaster, which is indicative of its history.Gou Pi Gao was traditionally literally a dog skin plaster, with herbal medicines smeared onto a dog skin.
In addition, modern chemicals are often added to the adhesive ""herbal"" mixture on the plaster, including ingredients such as menthol and camphor.Gou Pi Gao can be used to treat primarily muscle and tendon pains, caused by muscle sprains, tears, rheumatism, tendinitis and various other conditions.
The adhesive plaster is applied to the area in pain, and left on for 3–5 hours (preferably with heat treatment in order to increase the medicine's effectiveness).
Afterwards, it is removed, and the skin is left to rest for 2–3 hours, after which the Gou Pi Gao is reapplied.
Certain medical conditions, such as pregnancy, may result in a higher risk factor in taking the medicine, and one should contact his/her doctor to prevent the risk of complications."
Radix Euphorbiae Pekinensis,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Radix Ginseng,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Radix Ginseng Rubra,List of herbs with known adverse effects,"This is a partial list of herbs and herbal treatments with known or suspected adverse effects, either alone or in interaction with other herbs or drugs.  Non-inclusion of an herb in this list does not imply that it is free of adverse effects.  In general, the safety and effectiveness of alternative medicines have not been scientifically proven and remain largely unknown.  Beyond adverse effects from the herb itself, ""adulteration, inappropriate formulation, or lack of understanding of plant and drug interactions have led to adverse reactions that are sometimes life threatening or lethal.""Most of the adverse effects stated in this list are associated with only a small percentage of cases; they should be understood as potential risks rather than as certainties.Alternative medicine
Herbalism
List of branches of alternative medicine
List of plants used in herbalism
List of poisonous plants"
Radix Glehniae,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Radix Glycyrrhizae,Radix Glycyrrhizae,"Glycyrrhiza uralensis, also known as Chinese liquorice, is a flowering plant native to Asia.
It is used as a sweetener and in traditional Chinese medicine.Spice Pages: liquorice (Glycyrrhiza glabra/uralensis, liquorice)
Science Direct
Journal of Chinese Integrative Medicine
Radix Glycyrrhizae at damo-qigong.netLiquorice root contains glycyrrhizin, which may affect blood pressure, blood potassium levels or have untoward effects during pregnancy.
Overuse of licorice may induce weakness, headache, blurred vision, nosebleed, anxiety, or shortness of breath.
Other common side effects may include missed menstrual periods, fluid retention or sexual problems in men.Chinese herbology 50 fundamental herbs
LiquoriceLiquorice root, or 'radix glycyrrhizae', is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name gancao (kan-tsao; Chinese: 甘草, pinyin: gāncǎo).
It is used in Chinese medicine to harmonize other herbs and to reduce the harsh effects of other herbs.
Liquorice root is most commonly produced in the Shanxi, Gansu and Xinjiang regions of China."
Radix Linderae,Radix Linderae,"Lindera aggregata is a plant species belonging to the genus Lindera.Engl.: evergreen lindera, Japanese evergreen spicebush.
TCM: trad.烏樂, simpl. 乌药 or 乌乐, pinyin : wūyào.
Bot. syn.: Benzoin strychnifolium (Sieb. & Zucc.) Kuntze, Daphnidium strychnifolium Sieb. & Zucc., Laurus aggregata Sims, Lindera eberhardtii Lecomte, Lindera strychnifolia (Sieb. & Zucc.) Fern.乌药, radix lindera, is present in the Kampo herb list. It is an ingredient in the traditional Chinese medicine pill Chaihu Shugan Wan against ""stagnation of liver qi, distension of chest and hypochondria, indigestion, and acid eructation"", and in the Lindera Combination Teapills (simpl. 天台乌药丸, trad. 天臺烏藥丸, pinyin : tiāntái wūyào wán), a Chinese classic herbal formula.An A type proanthocyanidin trimer (epicatechin-(4β→8,2β→O→7)-entcatechin-(4β-8)-catechin) can be found in Lindera aggregata. In a study this compound showed cytoprotective action against ethanol-induced gastric injury in Sprague-Dawley rats.Four alkaloids (boldine, norboldine, reticuline and linderegatine) can also be found in L. aggregata."
Radix Notoginseng,Yunnan Baiyao,"The safety and efficacy of Yunnan Baiyao has not been assessed or established by the FDA, European Medicines Agency, or the Australian Therapeutic Goods Administration.
In a limited number human studies of small sample sizes, administration of Yunnan Baiyao has been shown to correlate with ""reduced perioperative bleeding as well as bleeding in various ulcerative–hemorrhagic conditions"" .
Yunnan Baiyao should not be used with alcohol or when pregnant.In December 2010, purported lists of ingredients were published on the websites of Amazon.com and the Food and Drug Administration (FDA).
As a result, Yunnan Baiyao's exact ingredients are not printed on its packaging in China, and its production process was not disclosed to workers in the factory.
It is not listed on the Australian Register of Therapeutic Goods (ARTG) for approved sale in Australia, and the quality, safety, or efficacy of Yunnan Baiyao has not been established by the Australian Therapeutic Goods Administration.Oral administration was shown to produce negligible results in laboratory tests."
Radix Paeoniae Alba,Wuji Baifeng Wan,"Wuji Baifeng Wan  (simplified Chinese: 乌鸡白凤丸; traditional Chinese: 烏雞白鳳丸) is a blackish-brown pill used in Traditional Chinese medicine to ""replenish qi and blood , regulate menstruation and arrest excessive leukorrhea"". It is slightly aromatic and tastes sweet and slightly bitter. It is used where there is ""deficiency of both qi and blood marked by emaciation and general feebleness, aching and limpness of loins and knees, disorders of menstruation with abnormal uterine bleeding and excessive leukorrhea"". The binding agent of the pill is honey.  Wuji Baifeng Wan translates to: Black  Chicken White Phoenix Pill.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Paeoniae Rubra,Gou pi gao,"Gou Pi Gao, translated word for word, literally means dog skin plaster, which is indicative of its history.Gou Pi Gao was traditionally literally a dog skin plaster, with herbal medicines smeared onto a dog skin.
In addition, modern chemicals are often added to the adhesive ""herbal"" mixture on the plaster, including ingredients such as menthol and camphor.Gou Pi Gao can be used to treat primarily muscle and tendon pains, caused by muscle sprains, tears, rheumatism, tendinitis and various other conditions.
The adhesive plaster is applied to the area in pain, and left on for 3–5 hours (preferably with heat treatment in order to increase the medicine's effectiveness).
Afterwards, it is removed, and the skin is left to rest for 2–3 hours, after which the Gou Pi Gao is reapplied.
Certain medical conditions, such as pregnancy, may result in a higher risk factor in taking the medicine, and one should contact his/her doctor to prevent the risk of complications."
Radix Platycodi,Chaihu Shugan Wan,"Chaihu Shugan Wan (Chinese: 柴胡舒肝丸) is a blackish-brown honeyed pill used in Traditional Chinese medicine to ""disperse stagnated liver-qi, to activate the flow of qi, to relieve distension and pain"".  It is used in cases where there is ""stagnation of liver qi, distension of chest and hypochondria, indigestion, and acid eructation"".Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Puerariae,Radix Puerariae,"Pueraria is a genus of 15–20 species of plants native to Asia.
The genus is polyphyletic, with different species being related to species in Glycine (which includes soybean), Amphicarpaea, Nogra, Teyleria, Neonotonia, Pseudovigna, Pseudeminia, Pachyrhizus (which includes jicama), and other genera of the tribe Phaseoleae.The best known is kudzu, also called Japanese arrowroot.These five species are closely related, and the name kudzu describes one or more of them.
The morphological differences between the five species are subtle, they can breed with each other, and it appears that introduced kudzu populations in the United States have ancestry from more than one of the species.
P. lobata (Willd.) Ohwi (kudzu) (by some treated as P.
lobata)
P. montana (Lour.) Merr.
P. phaseoloides (Roxb.) Benth.
montana var.
montana var.
chinensisOther plants that belong to this genus include:
P. tuberosa (Roxb.ex Willd.) DC.
P. wallichii (probably does not belong in Pueraria)"
Radix Rehmanniae Preparata,Wuji Baifeng Wan,"Wuji Baifeng Wan  (simplified Chinese: 乌鸡白凤丸; traditional Chinese: 烏雞白鳳丸) is a blackish-brown pill used in Traditional Chinese medicine to ""replenish qi and blood , regulate menstruation and arrest excessive leukorrhea"". It is slightly aromatic and tastes sweet and slightly bitter. It is used where there is ""deficiency of both qi and blood marked by emaciation and general feebleness, aching and limpness of loins and knees, disorders of menstruation with abnormal uterine bleeding and excessive leukorrhea"". The binding agent of the pill is honey.  Wuji Baifeng Wan translates to: Black  Chicken White Phoenix Pill.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Sanguisorbae,Huaijiao Wan,"Huaijiao Wan (Chinese: 槐角丸) is a blackish-brown pill used in Traditional Chinese medicine to ""arrest bleeding by reducing heat from blood in treating hematochezia"". It tastes bitter and astringent. It is used where there is ""hematochezia, hemorrhoidal swelling and pain"". The binding agent is a water-honey solution. Each pill weighs about 6 grams.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Scrophulariae,Daochi Wan,"Daochi Wan (simplified Chinese: 导赤丸; traditional Chinese: 導赤丸) is a blackish-brown honeyed pill used in Traditional Chinese medicine to ""remove heat, quench fire, relieve dysuria and to relax bowels"". It is used in cases where there are ""ulcers in the mouth or on the tongue, sore throat, fidgetness and distress in the chest, micturition of small amount of red urine, and constipation due to virulent-internal-heat"".  
It tastes sweet and bitter.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Scutellariae,Radix Scutellariae,"Scutellaria baicalensis List of Chemicals (Dr. Duke's Databases)
Scutellaria baicalensis (Plants for a Future)Piper methysticum (kava), another anxiolytic GABAergic plant
Valeriana officinalis (valerian), a sedative GABAergic plantThe plant is native to China, Korea, Mongolia, and Russia in the Russian Far East and Siberia.Several chemical compounds have been isolated from the root; baicalein, baicalin, wogonin, norwogonin, oroxylin A and β-sitosterol are the major ones.It is important to use the Latin name, as the term 'skullcap' is used for over 200 varieties.
Sometimes, Scutellaria lateriflora (North American skullcap) is mistaken for S.
baicalensis.
lateriflora variety which can be processed and contaminated with other plants at high enough levels to be of concern.It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name huángqín (Chinese: 黄芩).
As a Chinese traditional medicine, huang qin usually refers to the dried root of S.
baicalensis Georgi, S."
Radix Smilacis,Gou pi gao,"Gou Pi Gao, translated word for word, literally means dog skin plaster, which is indicative of its history.Gou Pi Gao was traditionally literally a dog skin plaster, with herbal medicines smeared onto a dog skin.
In addition, modern chemicals are often added to the adhesive ""herbal"" mixture on the plaster, including ingredients such as menthol and camphor.Gou Pi Gao can be used to treat primarily muscle and tendon pains, caused by muscle sprains, tears, rheumatism, tendinitis and various other conditions.
The adhesive plaster is applied to the area in pain, and left on for 3–5 hours (preferably with heat treatment in order to increase the medicine's effectiveness).
Afterwards, it is removed, and the skin is left to rest for 2–3 hours, after which the Gou Pi Gao is reapplied.
Certain medical conditions, such as pregnancy, may result in a higher risk factor in taking the medicine, and one should contact his/her doctor to prevent the risk of complications."
Radix Sophorae flavescentis,Radix Sophorae flavescentis,"Sophora flavescens, the shrubby sophora, is a species of plant in the genus Sophora of the family Fabaceae.
About fifteen of these species have a long history of use in traditional Chinese medicines.
The root is known as Ku shen and is a commonly-used in traditional Chinese medicine.A variety of chemical compounds have been isolated from S.
Trifolirhizin, a pterocarpan flavonoid, isolated from the roots
Oxysophocarpine and sophocarpine, alkaloidsA review on phytochemical, ethnomedical and pharmacological studies on genus Sophora, Fabaceae
Effects of alkaloids from Sophora flavescens on the motility of parasitic helminths and isolated host tissues"".
""Supercritical fluid extraction of quinolizidine alkaloids from Sophora flavescens Ait. and purification by high-speed counter-current chromatography"" (PDF).
Therefore, a potential source of novel whitening agents for ultraviolet (UV)-sensitive skinToxic effects from use of the root may include nausea, dizziness, vomiting, constipation, spasms, disturbance of speech, irregular breathing, respiratory failure and death."
Radix Stellariae,Wuji Baifeng Wan,"Wuji Baifeng Wan  (simplified Chinese: 乌鸡白凤丸; traditional Chinese: 烏雞白鳳丸) is a blackish-brown pill used in Traditional Chinese medicine to ""replenish qi and blood , regulate menstruation and arrest excessive leukorrhea"". It is slightly aromatic and tastes sweet and slightly bitter. It is used where there is ""deficiency of both qi and blood marked by emaciation and general feebleness, aching and limpness of loins and knees, disorders of menstruation with abnormal uterine bleeding and excessive leukorrhea"". The binding agent of the pill is honey.  Wuji Baifeng Wan translates to: Black  Chicken White Phoenix Pill.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Trichosanthis,Daochi Wan,"Daochi Wan (simplified Chinese: 导赤丸; traditional Chinese: 導赤丸) is a blackish-brown honeyed pill used in Traditional Chinese medicine to ""remove heat, quench fire, relieve dysuria and to relax bowels"". It is used in cases where there are ""ulcers in the mouth or on the tongue, sore throat, fidgetness and distress in the chest, micturition of small amount of red urine, and constipation due to virulent-internal-heat"".  
It tastes sweet and bitter.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Radix Zanthoxyli,List of kampo herbs,"In 1967, the Japanese Ministry of Health, Labour and Welfare approved four kampo medicines for reimbursement under the National Health Insurance (NHI) program.
In 1976, 82 kampo medicines were approved by the Ministry of Health, Labour and Welfare.
Currently, 148 kampo medicines are approved for reimbursement.
The 14th edition of the Japanese Pharmacopoeia (JP) (日本薬局方 Nihon yakkyokuhō) lists 165 herbal ingredients that are approved to be used in kampo remedies.
The most common herb  is Glycyrrhizae Radix (Chinese liquorice root).
Other common herbs are Zingiberis Rhizoma (ginger) (51 of 128 formulae) and Paeoniae Radix (Chinese peony root) (44 of 128 formulae).
""庶"" is usually substituted in Chinese and Japanese.
""梨"" or ""藜"" is usually substituted in Japanese.
The ""勿"" in ""藜"" should be replaced with ""刂"".The World of KampoTsumura Herb Handbook (in Japanese)
(ISBN 0-939616-42-4) Eastland Press Herb List Arranged by Pinyin
""Learner's Disney Character Dictionary of Chinese Medicine""Kampo list
Chinese classic herbal formula"
