,ConditionId,name_used,summary,url,toc
maintenance,639,Maintenance of an organism,"Maintenance of an organism is the collection of processes to stay alive, excluding production processes. The Dynamic Energy Budget theory delineates two classes

Somatic maintenance mainly comprises the turnover of structural mass (mainly proteins) and the maintenance of concentration gradients of metabolites across membranes (e.g., counteracting leakage). This is related to maintenance respiration.
Maturity maintenance concerns the maintenance of defence systems (such as the immune system), and the preparation of the body for reproduction.The theory assumes that maturity maintenance costs can be reduced more easily during starvation than somatic maintenance costs. Under extreme starvation conditions, somatic maintenance costs are paid from structural mass, which causes shrinking. Some organism manage to switch to the turpor state under starvation conditions, and reduce their maintenance costs.",https://en.wikipedia.org/wiki/Maintenance_of_an_organism,[]
malaria,330,Malaria,"Methods that use the polymerase chain reaction to detect the parasite's DNA have been developed, but are not widely used in areas where malaria is common due to their cost and complexity.The risk of disease can be reduced by preventing mosquito bites through the use of mosquito nets and insect repellents, or with mosquito control measures such as spraying insecticides and draining standing water.
Several medications are available to prevent malaria in travellers to areas where the disease is common.
Occasional doses of the combination medication sulfadoxine/pyrimethamine are recommended in infants and after the first trimester of pregnancy in areas with high rates of malaria.
The recommended treatment for malaria is a combination of antimalarial medications that includes an artemisinin.
It is recommended that in areas where the disease is common, malaria is confirmed if possible before treatment is started due to concerns of increasing drug resistance.",https://en.wikipedia.org/wiki/Malaria,"[('Signs and symptoms', 'Complications'), ('Cause', 'Life cycle'), ('Cause', 'Recurrent malaria'), ('Cause', 'Climate change'), ('Pathophysiology', 'Genetic resistance'), ('Pathophysiology', 'Liver dysfunction'), ('Diagnosis', 'Classification'), ('Prevention', 'Mosquito control'), ('Prevention', 'Other methods'), ('Prevention', 'Medications'), ('Treatment', 'Resistance'), ('Prognosis',), ('Epidemiology',), ('History',), ('Society and culture', 'Economic impact'), ('Society and culture', 'Counterfeit and substandard drugs'), ('Society and culture', 'War'), ('Society and culture', 'Eradication efforts'), ('Research', 'Vaccine'), ('Research', 'Medications'), ('Research', 'Other'), ('Other animals',), ('References',), ('Further reading',), ('External links',)]"
male infertility,83,Male infertility,"Male infertility refers to a male's inability to cause pregnancy in a fertile female. In humans it accounts for 40–50% of infertility. It affects approximately 7% of all men. Male infertility is commonly due to deficiencies in the semen, and semen quality is used as a surrogate measure of male fecundity.",https://en.wikipedia.org/wiki/Male_infertility,"[('Causes', 'Immune infertility', 'Other'), ('Causes', 'Pre-testicular causes', 'Varicocele'), ('Causes', 'Pre-testicular causes', 'Tobacco smoking'), ('Causes', 'Pre-testicular causes', 'DNA damage'), ('Causes', 'Pre-testicular causes', 'Epigenetic'), ('Causes', 'Post-testicular causes'), ('Diagnosis', 'Medical history'), ('Diagnosis', 'Physical examination'), ('Diagnosis', 'Sperm sample', 'Semen sample obtaining'), ('Diagnosis', 'Blood sample'), ('Diagnosis', 'Ultrasonography'), ('Prevention',), ('Treatment', 'Hormonal therapy'), ('Future potential treatments',), ('Global trends',), ('Society and culture',), ('See also',), ('References',)]"
males,525,Male,"A male (♂) organism is the physiological sex that produces sperm. Each spermatozoon can fuse with a larger female gamete, or ovum, in the process of fertilization. A male cannot reproduce sexually without access to at least one ovum from a female, but some organisms can reproduce both sexually and asexually. Most male mammals, including male humans, have a Y chromosome, which codes for the production of larger amounts of testosterone to develop male reproductive organs. 
Not all species share a common sex-determination system. In most animals, including humans, sex is determined genetically; however, species such as Cymothoa exigua change sex depending on the number of females present in the vicinity.",https://en.wikipedia.org/wiki/Male,"[('Overview',), ('Symbol',), ('Sex determination', 'Genetic determination'), ('Sex determination', 'Environmental determination'), ('Secondary sex characteristics',), ('See also',), ('References',), ('Further reading',)]"
malignant head and neck neoplasm,439,Salivary gland tumour,"Salivary gland tumours  or neoplasms are tumours that form in the tissues of salivary glands. The salivary glands are classified as major or minor. The major salivary glands consist of the parotid, submandibular, and sublingual glands. The minor salivary glands consist of 800-1000 small mucus-secreting glands located throughout the lining of the oral cavity.",https://en.wikipedia.org/wiki/Salivary_gland_tumour,"[('Presentation',), ('Diagnosis', 'Classification'), ('Treatment',), ('Epidemiology',), ('See also',), ('References',), ('External links',)]"
malignant neoplasm of breast,48,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of esophagus,167,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of kidney,236,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of liver,168,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of lung,169,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of ovary,170,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of pancreas,171,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of pharynx,440,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of prostate,172,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of skin,441,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
malignant neoplasm of stomach,173,ICD-10 Chapter II: Neoplasms,"ICD-10 is an international statistical classification used in health care and related industries.
Produced by the World Health Organization, it is used in several countries around the world. Some have gone on to develop their own national enhancements, building off the international version of the classification.
Chapter II of ICD-10 deals with neoplastic conditions; such as cancer, carcinoma in situ, and benign tumours. Precancerous conditions, for example vaginal intraepithelial neoplasia are classified to the body system chapter.
The code set within Chapter II has been further enhanced by the International Classification of Diseases for Oncology (ICD-O) stand-alone classification.",https://en.wikipedia.org/wiki/ICD-10_Chapter_II:_Neoplasms,"[('C00–D48 – Neoplasms', '(C00–C14) Malignant neoplasms, lip, oral cavity and pharynx'), ('C00–D48 – Neoplasms', '(C15–C26) Malignant neoplasms, digestive organs'), ('C00–D48 – Neoplasms', '(C30–C39) Malignant neoplasms, respiratory system and intrathoracic organs'), ('C00–D48 – Neoplasms', '(C40–C41) Malignant neoplasms, bone and articular cartilage'), ('C00–D48 – Neoplasms', '(C43–C44) Malignant neoplasms, skin'), ('C00–D48 – Neoplasms', '(C45–C49) Malignant neoplasms, connective and soft tissue'), ('C00–D48 – Neoplasms', '(C50–C58) Malignant neoplasms, breast and female genital organs'), ('C00–D48 – Neoplasms', '(C60–C63) Malignant neoplasms of male genital organs'), ('C00–D48 – Neoplasms', '(C64–C68) Malignant neoplasms, urinary organs'), ('C00–D48 – Neoplasms', '(C69–C72) Malignant neoplasms, eye, brain and central nervous system'), ('C00–D48 – Neoplasms', '(C73–C75) Malignant neoplasms, endocrine glands and related structures'), ('C00–D48 – Neoplasms', '(C76–C80) Malignant neoplasms, secondary and ill-defined'), ('C00–D48 – Neoplasms', '(C81–C96) Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue'), ('C00–D48 – Neoplasms', '(C97) Malignant neoplasms of independent (primary) multiple sites'), ('C00–D48 – Neoplasms', '(D00–D09) In situ neoplasms'), ('C00–D48 – Neoplasms', '(D10–D36) Benign neoplasms'), ('C00–D48 – Neoplasms', '(D37–D48) Neoplasms of uncertain or unknown behaviour'), ('See also',)]"
