,herb,common_names,background,know,learned,safety,safety_relations,know_relations,learned_relations,background_relations
34,Licorice Root,"
Common Names:¬†
  licorice root, licorice, liquorice, sweet root, gan cao, gan-zao, Chinese¬†licorice","
Most licorice root grows in Greece, Turkey, and Asia. Anise oil is often used instead of licorice root to flavor licorice¬†candy.
Centuries ago, licorice root was used in Greece, China, and Egypt for stomach inflammation and upper respiratory problems. Licorice root also has been used as a¬†sweetener.
Today, people use licorice root as a dietary supplement for digestive problems, menopausal symptoms, cough, and bacterial and viral infections. People also use it as a¬†shampoo.
Licorice is harvested from the plants‚Äô roots and underground stems. Licorice supplements are available as capsules, tablets, and liquid¬†extracts.
","
A number of studies of licorice root in people have been published, but not enough to support the use for any specific health¬†condition.
","
Glycyrrhizin‚Äîa compound found in licorice root‚Äîhas been tested in a few clinical trials in hepatitis C patients, but there‚Äôs currently not enough evidence to determine if it‚Äôs helpful. Laboratory studies done in Japan (where an injectable glycyrrhizin compound is used in people with chronic hepatitis C who do not respond to conventional treatment) suggest that glycyrrhizin may have some effect against hepatitis¬†C.
There‚Äôs some evidence that topical licorice extract may improve skin rash symptoms, such as redness, swelling, and¬†itching.
A Finnish study of mothers and their young children suggested that eating a lot of actual licorice root during pregnancy may harm a child‚Äôs developing brain, leading to reasoning and behavioral issues, such as attention problems, rule-breaking, and¬†aggression.
Studies of licorice root extracts in people for cavities, mouth ulcers, and oral yeast infections have returned mixed¬†results.
","
In large amounts and with long-term use, licorice root can cause high blood pressure and low potassium levels, which could lead to heart and muscle problems. Some side effects are thought to be due to a chemical called glycyrrhizic acid. Licorice that has had this chemical removed (called DGL for deglycyrrhizinated licorice) may not have the same degree of side¬†effects.
Taking licorice root containing glycyrrhizinic acid with medications that reduce potassium levels such as diuretics might be bad for your¬†heart.
Pregnant women should avoid using licorice root as a supplement or consuming large amounts of it as¬†food.
","[('which', 'In', 'heart and muscle problems'), ('', 'Some side effects due'), ('that', 'removed', 'side¬†effects'), ('that', 'be bad', 'your¬†heart'), ('Pregnant women', 'avoid', 'as¬†food')]","[('any specific health¬†condition', 'published', '\nA number of of enough')]","[('', '\nGlycyrrhizin‚Äîa compound in in in evidence'), ('redness', 'suggest', 'an injectable glycyrrhizin compound in with to against such swelling'), ('eating', 'suggested', 'attention problems'), ('Studies', 'returned', 'mixed¬†results')]","[('\nMost licorice root', 'grows in', 'Greece'), ('licorice¬†candy', 'used', 'Anise oil'), ('Greece', 'used in', 'licorice root China Egypt for problems'), ('', 'Licorice root as'), ('people', 'use', 'digestive problems'), ('People', 'use', 'a¬†shampoo'), ('the plants‚Äô roots', 'harvested from', 'Licorice underground stems'), ('Licorice supplements', 'are available', 'capsules')]"
35,Milk Thistle,"
Common Names:¬†
  milk thistle, Mary thistle, holy¬†thistle.","
Milk thistle is native to southern Europe, southern Russia, Asia Minor, and northern Africa. It also grows in North and South America and South¬†Australia.
Silymarin is considered to be the main component of milk thistle seeds, but the terms ‚Äúmilk thistle‚Äù and ‚Äúsilymarin‚Äù often are used¬†interchangeably.
Historically, people have used milk thistle for liver disorders, such as hepatitis and cirrhosis, and gallbladder¬†problems.
Silymarin is the most commonly used herbal supplement in the United States for liver¬†problems.
Milk thistle products are available as capsules, powders, and¬†extracts.
","
We know little about whether milk thistle is effective in people, as only a few well-designed clinical studies have been¬†conducted.
","
Results from clinical trials of milk thistle for liver diseases have been mixed, and two rigorously designed studies found no¬†benefit.
The 2008 Hepatitis C Antiviral Long-Term Treatment Against Cirrhosis (HALT-C) study, sponsored by the National Institutes of Health (NIH), found that hepatitis C patients who used silymarin had fewer and milder symptoms of liver disease and somewhat better quality of life but no change in virus activity or liver¬†inflammation.
A 2012 clinical trial, cofunded by the National Center for Complementary and Integrative Health (NCCIH) and the National Institute of Diabetes and Digestive and Kidney Diseases, showed that two higher-than-usual doses of silymarin were no better than placebo for chronic hepatitis C in people who had not responded to standard antiviral¬†treatment.
Results from a 2013 clinical study suggest that milk thistle may enhance standard treatment in young people with a particular form of anemia (Cooley‚Äôs¬†anemia).
","
In clinical trials, milk thistle appears to be well tolerated in recommended doses. Occasionally, people report various gastrointestinal side¬†effects.
Milk thistle may produce allergic reactions, which tend to be more common among people who are allergic to plants in the same family (for example, ragweed, chrysanthemum, marigold, and¬†daisy).
Compounds in milk thistle may lower blood sugar levels in people with type 2 diabetes. People with diabetes should use¬†caution.
","[('milk thistle', ''), ('people', 'report', 'various gastrointestinal side¬†effects'), ('who', 'produce', 'people, plants, family, example'), ('Compounds', 'lower', 'blood sugar levels, people, diabetes'), ('People', 'People with', 'diabetes')]","[('only a few well-designed clinical studies', 'know little', 'people')]","[('two rigorously designed studies', 'mixed', 'no¬†benefit'), ('who', 'found', 'life, activity'), ('who', 'showed', 'standard antiviral¬†treatment'), ('milk thistle', 'suggest', 'standard treatment, people, form, anemia')]","[('\nMilk thistle', 'native to', 'southern Europe'), ('It', 'grows in', 'North and South America'), ('', 'Silymarin of Äúsilymarin‚Äù are'), ('people', 'used', 'milk thistle, disorders, hepatitis'), ('Silymarin', 'is', 'liver¬†problems'), ('Milk thistle products', 'are available', 'capsules')]"
36,Noni,"
Common Names:¬†
  noni, morinda, Indian mulberry, hog apple,¬†canarywood","
Noni is a small evergreen tree found from Southeastern Asia to Australia, especially in Polynesia; it often grows among lava¬†flows.
Historically, many parts of the noni plant were used both externally and internally for a variety of health purposes, alone or in combination with other¬†herbs.
Today, the principal part of the noni plant used for health purposes is the ripe fruit, which is used as a dietary supplement for various chronic diseases, including¬†cancer.
The noni fruit is most commonly combined with other fruits to make juice. Preparations of the fruit and leaves are also available in capsules, tablets, and¬†teas.
","
Only a few studies have investigated the effects of noni in¬†people.
","
In laboratory research, noni has shown antioxidant, immune-stimulating, and tumor-fighting properties. These results suggest that noni may warrant further study for various diseases. However, noni has not been shown to have beneficial effects on any chronic health condition in studies of¬†people.
","
Few side effects have been reported in studies of noni. However, several cases of liver toxicity have been reported in people who had consumed noni. It is unclear whether noni caused the liver¬†problems.
The U.S. Food and Drug Administration has issued warnings to noni manufacturers about making unsupported health¬†claims.
Noni contains a substantial amount of potassium. People who need to restrict their intake of potassium should consult a health care provider before using¬†noni.
","[('', '\nFew side effects in of'), ('noni', 'reported in', 'several cases of'), ('noni', 'unclear', 'the liver¬†problems'), ('The U.S. Food and Drug Administration', 'issued', 'unsupported health¬†claims'), ('Noni', 'contains', 'potassium'), ('who', 'consult', 'using¬†noni')]","[('\nOnly a few studies', 'investigated', 'the effects, in¬†people')]","[('noni', 'shown', 'antioxidant, immune-stimulating, and tumor-fighting properties'), ('noni', 'suggest', 'further study, diseases'), ('beneficial effects', 'shown', 'noni on in')]","[('it', 'grows among', 'lava¬†flows'), ('health purposes', 'used', 'many parts in combination with'), ('health purposes', 'is', 'which as for'), ('juice', 'combined with', 'The noni fruit'), ('Preparations', 'are', 'capsules')]"
37,Omega-3 Supplements: An Introduction,,"How much do we know about omega-3 fatty acids (omega-3s)?Extensive research has been done on omega-3s, especially the types found in seafood (fish and shellfish) and fish oil supplements.",Omega-3s (short for omega-3 fatty acids) are a kind of fat found in foods and in the human body. They are also sold as dietary supplements.¬†,"Research indicates that omega-3 supplements don’t reduce the risk of heart disease. However, people who eat seafood one to four times a week are less likely to die of heart disease. 
High doses of omega-3s can reduce levels of triglycerides. 
Omega-3 supplements may help relieve symptoms of rheumatoid arthritis.
Omega-3 supplements have not been convincingly shown to slow the progression of the eye disease age-related macular degeneration.
For most other conditions for which omega-3 supplements have been studied, the evidence is inconclusive or doesn’t indicate that omega-3s are beneficial.","Side effects of omega-3 supplements are usually mild. They include unpleasant taste, bad breath, bad-smelling sweat, headache, and gastrointestinal symptoms such as heartburn, nausea, and diarrhea.
Several large studies have linked higher blood levels of long-chain omega-3s with higher risks of prostate cancer. However, other research has shown that men who frequently eat seafood have lower prostate cancer death rates and that dietary intakes of long-chain omega-3s aren’t associated with prostate cancer risk. The reason for these apparently conflicting findings is unclear. 
Omega-3 supplements may interact with drugs that affect blood clotting.
It’s uncertain whether people with seafood allergies can safely take fish oil supplements.","[('Side effects', ''), ('They', 'include', 'unpleasant taste, heartburn'), ('Several large studies', 'linked', 'higher blood levels, omega-3s, risks, cancer'), ('long-chain omega-3s', 'shown', 'dietary intakes associated with'), ('The reason', ''), ('that', 'interact', 'blood clotting'), ('people', '’s uncertain', 'fish oil supplements')]","[('Omega-3s', ''), ('dietary supplements.¬†', 'sold as', 'They')]","[('omega-3 supplements', 'indicates', 'the risk, disease'), ('who', 'are', 'four times, disease'), ('High doses', 'reduce', 'levels, triglycerides'), ('Omega-3 supplements', 'help', 'symptoms, arthritis'), ('the progression', 'shown', 'Omega-3 supplements of'), ('most other conditions', 'is inconclusive', 'omega-3 supplements indicate')]","[('seafood', 'know', 'about omega-3 fatty acids (omega-3s)?Extensive research shellfish supplements')]"
38,Peppermint Oil,"
Common Names:¬†
  peppermint, peppermint¬†oil","The herb peppermint, a natural cross between two types of mint (water mint and spearmint), grows throughout Europe and North America. Both peppermint leaves and the essential oil from peppermint have been used for health purposes. (Essential oils are very concentrated oils containing substances that give a plant its characteristic odor or flavor.) Peppermint is a common flavoring agent in foods, and peppermint oil is used to create a pleasant fragrance in soaps and cosmetics.
Mint has been used for health purposes for several thousand years. It is mentioned in records from ancient Greece, Rome, and Egypt. However, peppermint was not recognized as a distinct kind of mint until the 1700s.
Today, peppermint is used as a dietary supplement for irritable bowel syndrome (IBS), other digestive problems, the common cold, headaches, and other conditions. Peppermint oil is also used topically (applied to the skin) for headache, muscle aches, itching, and other problems. Peppermint leaf is available in teas, capsules, and as a liquid extract. Peppermint oil is available as liquid solutions and in capsules, including enteric-coated capsules.","A small amount of research has been conducted on peppermint oil, primarily focusing on IBS.
Very little research has been done on peppermint leaf.","Peppermint oil has been studied most extensively for IBS. Results from several studies indicate that peppermint oil in enteric-coated capsules may improve IBS symptoms.
A few studies have indicated that peppermint oil, in combination with caraway oil, may help relieve indigestion, but this evidence is preliminary and the product that was tested is not available in the United States.
Peppermint oil has been used topically for tension headaches and a limited amount of evidence suggests that it might be helpful for this purpose.
There’s not enough evidence to allow any conclusions to be reached about whether peppermint oil is helpful for nausea, the common cold, or other conditions.
There’s not enough evidence to show whether peppermint leaf is helpful for any condition.","Peppermint oil appears to be safe when taken orally (by mouth) in the doses commonly used. Excessive doses of peppermint oil can be toxic.
Possible side effects of peppermint oil include allergic reactions and heartburn. Capsules containing peppermint oil are often enteric-coated to reduce the likelihood of heartburn. If enteric-coated peppermint oil capsules are taken at the same time as antacids, the coating can break down too quickly.
Like other essential oils, peppermint oil is highly concentrated. When the undiluted essential oil is used for health purposes, only a few drops are used.
Side effects of applying peppermint oil to the skin can include skin rashes and irritation. Peppermint oil should not be applied to the face or chest of infants or young children because serious side effects may occur if they inhale the menthol in the oil.
No harmful effects of peppermint leaf tea have been reported. However, the long-term safety of consuming large amounts of peppermint leaf is unknown.","[('Peppermint oil', 'appears', 'the doses'), ('Excessive doses', 'Excessive doses of', 'peppermint oil'), ('Possible side effects', 'include', 'allergic reactions'), ('heartburn', 'enteric-coated', 'Capsules'), ('antacids', 'taken at', 'enteric-coated peppermint oil capsules'), ('other essential oils', 'Like', 'peppermint oil'), ('health purposes', 'used for', 'only a few drops'), ('Side effects', 'include', 'skin rashes'), ('the oil', 'applied to', 'Peppermint oil chest young children'), ('peppermint leaf tea', 'No harmful effects of', 'No harmful effects'), ('the long-term safety', 'However', 'peppermint leaf')]","[('IBS', 'conducted on', 'A small amount'), ('peppermint leaf', 'done on', 'Very little research')]","[('', 'Peppermint oil for'), ('peppermint oil', 'indicate', 'IBS symptoms'), ('the United States', 'indicated', 'that available'), ('this purpose', 'used', 'Peppermint oil for amount suggests'), ('peppermint oil', '’s', 'nausea'), ('peppermint leaf', '’s', 'any condition')]","[('The herb peppermint', 'grows throughout', 'Europe'), ('health purposes', 'Both peppermint leaves', 'the essential oil used'), ('that', 'oils', 'its characteristic odor'), ('soaps', 'is', 'peppermint oil used cosmetics'), ('several thousand years', 'used for', 'Mint'), ('ancient Greece', 'mentioned in', 'It Rome Egypt'), ('1700s', 'recognized as', 'peppermint'), ('', 'peppermint as for problems headaches conditions'), ('headache', 'used', 'Peppermint oil itching other problems'), ('Peppermint leaf', 'is available', 'a liquid extract'), ('Peppermint oil', 'is available', 'enteric-coated capsules')]"
39,Pomegranate,"
Common Name:¬†
  Pomegranate","
The pomegranate fruit has a leathery rind (or husk) with many little pockets of edible seeds and juice¬†inside.
Since ancient times, the pomegranate has been a symbol of¬†fertility.
Researchers have studied all parts of the pomegranate for their potential health benefits. Those parts include the fruit, seed, seed oil, tannin-rich peel, root, leaf, and¬†flower.
The pomegranate has been used as a dietary supplement for many conditions including wounds, heart conditions, intestinal problems, and as a gargle for a sore¬†throat.
Pomegranate is made into capsules, extracts, teas, powders, and juice¬†products.
","
We don‚Äôt have a lot of strong scientific evidence on the effects of pomegranate for people‚Äôs¬†health.
","
A 2012 clinical trial of about 100 dialysis patients suggested that pomegranate juice may help ward off infections. In the study, the patients who were given pomegranate juice three times a week for a year had fewer hospitalizations for infections and fewer signs of inflammation, compared with patients who got the¬†placebo.
Pomegranate extract in mouthwash may help control dental plaque, according to a small 2011 clinical trial with 30 healthy¬†participants.
Pomegranate may help improve some signs of heart disease but the research isn‚Äôt¬†definitive.
","
Some people, particularly those with plant allergies, may be allergic to¬†pomegranate.
It‚Äôs unclear whether pomegranate interacts with the anticoagulant (blood thinning) medicine warfarin or drugs that work similarly in the body to¬†warfarin.
Federal agencies have taken action against companies selling pomegranate juice and supplements for deceptive advertising and making drug-like claims about the products. For more on this, view the NCCIH Director‚Äôs Page entitled Excessive Claims.
","[('\nSome people', '\nSome people', 'plant allergies'), ('that', ''), ('Federal agencies', 'taken', 'the products'), ('the NCCIH Director‚Äôs Page', 'view', 'Excessive Claims')]","[('don‚Äôt', 'have', 'the effects, pomegranate, people‚Äôs¬†health')]","[('pomegranate juice', 'suggested', 'infections'), ('the¬†placebo', 'times', 'who had fewer signs of with'), ('Pomegranate extract', 'help', '30 healthy¬†participants'), ('Pomegranate', 'help', 'heart disease')]","[('\nThe pomegranate fruit', 'has', 'edible seeds'), ('the pomegranate', 'Since', 'ancient times'), ('Researchers', 'studied', 'their potential health benefits'), ('Those parts', 'include', 'the fruit'), ('a sore¬†throat', 'used as', 'The pomegranate heart conditions intestinal problems'), ('capsules', 'made into', 'Pomegranate extracts teas powders juice¬†products')]"
40,Probiotics: In Depth,,"Probiotics are live microorganisms that are intended to have health benefits when consumed or applied to the body. They can be found in yogurt and other fermented foods, dietary supplements, and beauty¬†products.¬†","Probiotics may contain a variety of microorganisms. The most common are bacteria that belong to groups called Lactobacillus and Bifidobacterium. Other bacteria may also be used as probiotics, and so may yeasts such as Saccharomyces boulardii.¬†","No, prebiotics aren‚Äôt the same as probiotics. Prebiotics are nondigestible food components that selectively stimulate the growth or activity of desirable¬†microorganisms.¬†",Synbiotics are products that combine probiotics and¬†prebiotics.,"[('that', 'are', 'probiotics and¬†prebiotics')]","[('Probiotics', 'contain', 'a variety, microorganisms'), ('that', ''), ('probiotics', 'used as', 'Other bacteria may yeasts such')]","[('prebiotics', 'aren‚Äôt', 'probiotics'), ('that', 'are', 'desirable¬†microorganisms.¬†')]","[('the body', 'are', 'that applied'), ('', 'They in foods dietary supplements beauty¬†products.¬†')]"
41,Red Clover,"
Common Names:¬†
  red clover, cow clover, meadow clover, wild¬†clover","Like peas and beans, red clover belongs to the family of plants called legumes. Red clover contains substances called isoflavones. Isoflavones are phytoestrogens—compounds similar to the female hormone estrogen.
Historically, red clover was used for a variety of conditions including asthma, whooping cough, cancer, and gout. Today, isoflavone extracts from red clover are most often used as dietary supplements for menopausal symptoms, high cholesterol, or osteoporosis.
The flowering tops of the red clover plant are used to prepare extracts available in tablets or capsules, as well as in teas and liquid forms.","There have been several studies of red clover in people, but their results haven’t provided clear evidence of any beneficial effects.","Red clover has not been clearly shown to be helpful for any health condition.
Most research indicates that taking red clover does not relieve menopause symptoms such as hot flashes.
The National Center for Complementary and Integrative Health (NCCIH) is supporting research to develop better methods of identifying active components in red clover and to evaluate possible interactions of red clover with medications.","No serious side effects have been reported in studies that evaluated red clover for various health conditions for up to a year.
Because red clover contains estrogen-like compounds, there’s a possibility that long-term use would increase the risk of women developing cancer of the endometrium (the lining of the uterus). However, short-term studies of women who have taken red clover have not shown harmful changes in the uterine lining.
Red clover may not be safe for women who are pregnant or breastfeeding, for children, or for women who have breast cancer or other hormone-sensitive cancers.","[('a year', 'reported', 'No serious side effects in'), ('long-term use', '’s', 'cancer, endometrium, uterus'), ('who', 'shown', 'harmful changes, lining'), ('who', 'be safe', 'breast cancer')]","[('their results', 'been', 'clear evidence, effects')]","[('any health condition', 'shown', 'Red clover'), ('taking', 'indicates', 'hot flashes'), ('The National Center', 'supporting', 'medications')]","[('red clover', 'belongs to', 'plants'), ('Red clover', 'contains', 'substances'), ('Isoflavones', ''), ('', 'red clover for of including cough cancer gout'), ('', 'isoflavone extracts from as for high cholesterol osteoporosis'), ('teas and liquid forms', 'used', 'The flowering tops in capsules')]"
42,Red Yeast Rice: An Introduction,,"
Some red yeast rice products contain substantial amounts of monacolin K, which is chemically identical to the active ingredient in the cholesterol-lowering drug lovastatin. These products may lower blood cholesterol levels and can cause the same types of side effects and drug interactions as¬†lovastatin.
Other red yeast rice products contain little or no monacolin K. It is not known whether these products have any effect on blood cholesterol¬†levels.
Consumers have no way of knowing how much monacolin K is present in most red yeast rice products. The labels on these products usually state only the amount of red yeast rice that they contain, not the amount of monacolin¬†K.
The U.S. Food and Drug Administration (FDA) has determined that red yeast rice products that contain more than trace amounts of monacolin K are unapproved new drugs and cannot be sold legally as dietary¬†supplements.
Some red yeast rice products contain a contaminant called citrinin, which can cause kidney¬†failure.
Tell all your health care providers about any complementary health approaches you use. Give them a full picture of what you do to manage your health. This will help ensure coordinated and safe¬†care.
","Red yeast rice is made by culturing rice with various strains of the yeast Monascus purpureus. Some preparations of red yeast rice are used in food products in Chinese cuisine, including Peking duck. Others have been sold as dietary supplements to lower blood levels of cholesterol and related¬†lipids.","
The same types of side effects that can occur in patients taking lovastatin as a drug can also occur in patients who take red yeast rice products that contain monacolin K. Potential side effects include myopathy (muscle symptoms such as pain and weakness), rhabdomyolysis (a condition in which muscle fibers break down, releasing substances into the bloodstream that can harm the kidneys), and liver toxicity. Each of these three side effects has been reported in people who were taking red yeast¬†rice.
Red yeast rice supplements should not be used while pregnant or¬†breastfeeding.
Lovastatin can interact with a variety of drugs to increase the risk of rhabdomyolysis; these drugs include other cholesterol-lowering agents, certain antibiotics, the antidepressant nefazodone, drugs used to treat fungal infections, and drugs used to treat HIV infection. Red yeast rice containing monacolin K could interact with drugs in the same¬†way.
If the process of culturing red yeast rice is not carefully controlled, a substance called citrinin can form. Citrinin has been shown to cause kidney failure in experimental animals and genetic damage in human cells. In a 2011 analysis of red yeast rice products sold as dietary supplements, 4 of 11 products were found to contain this¬†contaminant.
","Red yeast rice products that contain substantial amounts of monacolin K can lower blood cholesterol levels. Researchers have not reported results of any studies of red yeast rice products that contain little or no monacolin K, so whether these products have any effect on blood cholesterol is¬†unknown.","[('that', 'lower', 'blood cholesterol levels'), ('these products', 'reported', 'any effect, is¬†unknown')]","[('culturing rice', 'made by', 'Red yeast rice with of'), ('Peking duck', 'used in', 'Some preparations of'), ('dietary supplements', 'sold as', 'Others to of related¬†lipids')]","[('that', 'occur', 'the kidneys'), ('red yeast¬†rice', 'reported in', 'Each of'), ('', 'Red yeast rice supplements'), ('drugs', 'interact', 'HIV infection'), ('Red yeast rice', 'interact', 'monacolin K, drugs, same¬†way'), ('a substance', 'is', 'culturing red yeast rice'), ('kidney failure', 'shown', 'Citrinin in damage in'), ('this¬†contaminant', 'found', '4 of 11 products')]","[('which', 'contain', 'substantial amounts, K, ingredient, lovastatin'), ('These products', 'lower', 'the same types, effects'), ('any effect', 'contain', 'little or no monacolin K. It on'), ('how much monacolin K', 'have', 'most red yeast rice products'), ('that', 'determined', 'dietary¬†supplements'), ('which', 'contain', 'kidney¬†failure'), ('you', 'Tell', 'any complementary health approaches'), ('you', 'Give', 'your health'), ('This', 'help', 'coordinated')]"
43,S-Adenosyl-L-Methionine (SAMe): An Introduction,,"Research has evaluated several potential uses of SAMe, and a substantial number of studies on depression and liver diseases have been completed. However, some of the studies used injected SAMe, which may not have the same effects as SAMe taken as a dietary¬†supplement.","SAMe was discovered in the early 1950s. It‚Äôs made in the body from methionine, an amino acid found in foods. It has been found to regulate key functions in living¬†cells.","SAMe has been studied primarily for depression, osteoarthritis, and liver diseases. Although there are hints that it might be helpful for these conditions, the evidence is not conclusive.","Information on the long-term safety of SAMe is limited because the participants in most studies took it only for short periods of time. However, in one study of alcohol-related liver disease, participants took SAMe for 2 years; in that study, no serious side effects were reported.
People with bipolar disorder (an illness characterized by mood swings, from depression to mania) should not take SAMe for their depressive symptoms except under the supervision of a health care provider because SAMe may worsen symptoms of mania.
Although SAMe has been used to treat cholestasis during pregnancy, its safety during pregnancy has not been established.
SAMe may decrease the effects of levodopa (L-dopa), a drug used to treat Parkinson’s disease. It’s also possible that SAMe might interact with drugs and dietary supplements that increase levels of serotonin (a chemical produced by nerve cells), such as antidepressants, L-tryptophan, and St. John’s wort.
There’s a theoretical concern about the use of SAMe by people who are immunocompromised (such as those who are HIV-positive). Immunocompromised people are at risk for Pneumocystis carinii infection, and SAMe enhances the growth of this microorganism.
Side effects of SAMe are uncommon, and when they do occur they are usually minor problems such as nausea or digestive upsets","[('time', 'limited', 'Information on of'), ('SAMe', 'took', 'no serious side effects'), ('SAMe', 'take', 'symptoms, mania'), ('cholestasis', 'used', 'its safety during'), ('SAMe', 'decrease', 'Parkinson’s disease'), ('that', '’s', 'levels, serotonin, chemical, cells, antidepressants'), ('those', '’s', 'who'), ('SAMe', 'risk', 'the growth, microorganism'), ('they', 'uncommon', 'nausea')]","[('', 'SAMe in'), ('It‚Äôs', ''), ('key functions', 'found', 'It in')]","[('', 'SAMe for osteoarthritis diseases'), ('the evidence', 'are', 'these conditions')]","[('several potential uses', 'evaluated', 'a substantial number of on diseases completed'), ('which', 'However', 'the same effects, SAMe, dietary¬†supplement')]"
44,Sage,"
Common Names:¬†
  sage, common sage, garden sage, true¬†sage","
Sage has a long history of use as a spice and for health purposes. It was used in ancient Egyptian, Roman, and Greek medicine. In Native American rituals, dried sage is burned to promote healing, wisdom, protection, and¬†longevity.
Today, sage is used as a dietary supplement for digestive problems, sore mouth or throat, memory loss, and¬†depression.
Sage leaves or their extracts are available as liquids, throat sprays, tablets, lozenges, and¬†capsules.
","
We don‚Äôt know much about the health effects of sage because little research has been done on¬†it.
","
Sage has not been clearly shown to be helpful for any health¬†condition.
There have been a few studies of sage for sore throat, mood, memory, and blood cholesterol levels. However, the findings are preliminary, and some of the research is of poor¬†quality.
","
Sage is generally recognized as safe by the U.S. Food and Drug Administration and is approved for food use as a spice or seasoning. However, some species of sage contain thujone, which can affect the nervous system. Extended use or taking large amounts of sage leaf or oil may result in restlessness, vomiting, vertigo, rapid heart rate, tremors, seizures, and kidney damage. Twelve drops or more of the essential oil is considered a toxic¬†dose.
","[('a spice', 'recognized', '\nSage approved seasoning'), ('which', 'contain', 'the nervous system'), ('Extended use', 'result in', 'restlessness'), ('the essential oil', 'Twelve drops', 'Twelve drops more')]","[('on¬†it', 'know much', 'little research')]","[('any health¬†condition', 'shown', '\nSage'), ('', 'sore throat'), ('some', 'are preliminary', 'poor¬†quality')]","[('\nSage', 'has', 'health purposes'), ('ancient Egyptian, Roman, and Greek medicine', 'used in', 'It'), ('healing', 'burned', 'dried sage wisdom protection and¬†longevity'), ('digestive problems', 'used as', 'sage throat loss and¬†depression'), ('their extracts', 'available as', 'liquids')]"
45,Saw Palmetto,"
Common Names:¬†
  saw palmetto, American dwarf palm tree, cabbage¬†palm","Saw palmetto is a small palm tree native to the southeastern United States. Its fruit was used medicinally by the Seminole Tribe of Florida.
Currently, saw palmetto is used as a dietary supplement for urinary symptoms associated with an enlarged prostate gland (also called benign prostatic hyperplasia or BPH), as well as for chronic pelvic pain, decreased sex drive, migraine, hair loss, and other conditions.
Extracts of the fruit of saw palmetto are used in tablets or capsules. Saw palmetto has also been used as ground, dried, or whole berries, a liquid extract, or a tea.","Rigorous, well-conducted studies have evaluated saw palmetto for urinary tract symptoms associated with prostate enlargement in men.
Much less is known about the use of saw palmetto as a dietary supplement for other health purposes or by other groups of people.","The scientific evidence does not support using saw palmetto for any health condition.
High-quality scientific studies have shown that saw palmetto is no more effective than a placebo (an inactive substance) in relieving urinary tract symptoms caused by prostate enlargement. These studies include a 2011 NIH-funded study that tested saw palmetto in amounts up to three times the usual dose.","Saw palmetto is well tolerated by most users. It may cause mild side effects, including digestive symptoms or headache.
Saw palmetto does not appear to affect readings of prostate-specific antigen (PSA) levels, even when taken in higher-than-usual amounts. PSA is a protein produced by the prostate gland. PSA levels have been used to screen for prostate cancer and are also used to monitor patients who have been diagnosed with prostate cancer.
Saw palmetto has not been shown to interact with medications.
Information on the safety of saw palmetto comes primarily from studies in men. Little is known about the safety or side effects of saw palmetto in women or children.","[('most users', 'tolerated by', 'Saw palmetto'), ('It', 'cause', 'mild side effects, symptoms'), ('Saw palmetto', 'appear', 'readings, levels, amounts'), ('PSA', ''), ('patients', 'used', 'who with'), ('', 'Saw palmetto with'), ('Information', 'comes', 'men'), ('women', 'known about', 'Little side effects children')]","[('Rigorous, well-conducted studies', 'evaluated', 'palmetto, symptoms, enlargement, men'), ('people', 'known about', 'less')]","[('The scientific evidence', 'support', 'any health condition'), ('saw', 'shown', 'urinary tract symptoms, enlargement'), ('that', 'include', 'up to three times the usual dose')]","[('Saw palmetto', 'is', 'the southeastern United States'), ('Florida', 'used', 'Its fruit'), ('sex drive', 'saw', 'palmetto as for with BPH decreased migraine hair loss other conditions'), ('tablets', 'used in', 'Extracts capsules'), ('ground', 'used as', 'Saw palmetto dried whole berries a tea')]"
